Scopus Source ID,Title,Citation Count,Scholarly Output,Percent Cited,CiteScore,SNIP,SJR,Scopus ASJC Code (Sub-subject Area),Scopus Sub-Subject Area,Percentile,RANK,Rank Out Of,Publisher,Main Publisher,Type,Open Access,Quartile,Top 10% (CiteScore Percentile),URL Scopus Source ID,Print ISSN,E-ISSN
xxxxx,Journal of Overdue Theories,11111,2222,33,4.2,1.1,0.9,4444,Library Philosophy,55,66,7777,Procrastination Press,xxxxxx,x,xx,8,xxxxx,xxxxxxxx,12345678,87654321
xxxxx,Catalogue Confessions,11111,2222,33,3.8,0.9,0.7,4444,Metadata Therapy,55,66,7777,MARC & Guilt Publishing,xxxxxx,x,xx,8,xxxxx,xxxxxxxx,23456789,98765432
xxxxx,The Shush Quarterly,11111,2222,33,2.5,0.7,0.6,4444,Acoustic Librarianship,55,66,7777,Whispered Wisdom Journals,xxxxxx,x,xx,8,xxxxx,xxxxxxxx,34567890,9876543
xxxxx,Interlibrary Loan Shark Review,11111,2222,33,5.3,1.5,1.3,4444,Aquatic Resource Sharing,55,66,7777,Circulation Predators Inc.,xxxxxx,x,xx,8,xxxxx,xxxxxxxx,4567890X,1098765X
xxxxx,Open Access and Existential Dread,11111,2222,33,6.6,2,1.8,4444,Philosophy of Publishing,55,66,7777,Angst & Enlightenment Press,xxxxxx,x,xx,8,xxxxx,xxxxxxxx,56789012,21098765
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
